iter	Passed	Remaining
165	2052	4129
166	2064	4115
167	2074	4098
168	2083	4080
169	2096	4068
170	2107	4055
171	2118	4040
172	2127	4022
173	2139	4007
174	2150	3993
175	2159	3975
176	2170	3961
177	2181	3947
178	2189	3926
179	2201	3913
180	2210	3896
181	2222	3883
182	2232	3866
183	2242	3851
184	2252	3835
185	2262	3819
186	2273	3805
187	2285	3792
188	2294	3774
189	2302	3757
190	2312	3741
191	2324	3728
192	2333	3711
193	2344	3697
194	2355	3683
195	2366	3670
196	2377	3657
197	2385	3639
198	2396	3624
199	2406	3610
200	2418	3597
201	2429	3584
202	2440	3570
203	2450	3555
204	2461	3542
205	2472	3529
206	2484	3516
207	2495	3502
208	2507	3490
209	2517	3475
210	2528	3463
211	2540	3451
212	2548	3433
213	2559	3420
214	2568	3404
215	2577	3388
216	2587	3374
217	2598	3361
218	2609	3348
219	2620	3335
220	2630	3320
221	2643	3310
222	2653	3295
223	2663	3282
224	2675	3269
225	2685	3255
226	2697	3243
227	2707	3230
228	2719	3218
229	2729	3204
230	2739	3190
231	2749	3176
232	2758	3161
233	2769	3148
234	2780	3135
235	2792	3123
236	2804	3112
237	2813	3096
238	2824	3084
239	2835	3240	240	2848	3060
241	2859	3048
242	2870	3035
243	2881	3022
244	2891	3245	245	2900	2246	246	2910	2247	247	2922	2248	248	2931	2249	249	2943	2250	250	2954	2251	251	2965	2252	252	2978	2253	253	2988	2254	254	2998	2255	255	3008	2256	256	3017	2257	257	3027	2258	258	3038	2259	259	3050	2260	3042	2786
261	261	3072	2262	3065	2762
263	3077	2751
264	3087	2737
265	3098	2725
266	3109	2713
267	3119	2700
268	268	3146	2269	269	3160	2270	270	3171	2271	3164	2652
272	272	3191	2273	3185	2627
274	274	3213	2275	275	3222	2276	3216	2589
277	277	3244	2278	278	3255	2279	279	3266	2280	280	3277	2281	281	3289	2282	282	3301	2283	283	3311	2284	284	3322	2285	285	3333	2494
286	3344	2482
287	3355	2470
288	3365	2457
289	3376	2445
290	3392	2436
291	3404	2425
292	3415	2412
293	3427	2401
294	3438	2389
295	3448	2376
296	3459	2364
297	3469	2351
298	3480	2339
299	3489	2326
300	3502	2315
301	3513	2303
302	3523	2290
303	3534	2278
304	3544	2305	305	3557	2255
306	3567	2242
307	3578	2230
308	3589	2218
309	3599	2206
310	3611	2194
311	3622	2182
312	3635	2171
313	3645	2159
314	3656	2147
315	3667	2135
316	3680	2124
317	3690	2112
318	3701	2100
319	3713	2088
320	3723	2076
321	3734	2064
322	3743	2051
323	3755	2040
324	3764	2026
325	3775	2014
326	3786	2003
327	3799	1992
328	3811	1980
329	3822	1969
330	3834	1957
331	3845	1945
332	3856	1933
333	3867	1921
334	3877	1909
335	3889	1898
336	3899	1886
337	3910	1874
338	3920	1862
339	3931	1850
340	3942	1838
341	3954	1827
342	3965	1814
343	3976	1803
344	3987	1791
345	3997	1779
346	4006	1347	347	4017	1348	348	4028	1349	349	4040	1350	350	4052	1351	351	4061	1352	352	4072	1353	353	4082	1354	354	4092	1355	355	4103	1659
356	4115	1648
357	4129	1637
358	4140	1626
359	4150	1614
360	4161	1602
361	4172	1590
362	4187	1580
363	4199	1569
364	4209	1556
365	4218	1544
366	4230	1533
367	4239	1520
368	4251	1509
369	4260	1496
370	4270	1485
371	4281	1473
372	4294	1462
373	4306	1450
374	4317	1439
375	4327	1427
376	4337	1415
377	4348	1403
378	4358	1391
379	4371	1380
380	4381	1368
381	4392	1356
382	4402	1344
383	4412	1332
384	4424	1321
385	4433	1309
386	4445	1297
387	4455	1286
388	4464	1273
389	4474	1262
390	4485	1250
391	4496	1238
392	4509	1227
393	4518	1215
394	4526	1203
395	4539	1192
396	4549	1180
397	4561	1168
398	4569	1156
399	4580	1145
400	4592	1133
401	4603	1122
402	4614	1110
403	4624	1098
404	4635	1087
405	4646	1075
406	4656	1064
407	4666	1052
408	4677	1040
409	4691	1029
